Backscattered Energy
Energy (KeV)	Hits (Normalized)
8.18	0.000688251
8.19	0.000716928
8.2	0.000731267
8.21	0.00050185
8.22	0.000473173
8.23	0.000645235
8.24	0.000544865
8.25	0.000630897
8.26	0.00050185
8.27	0.000759944
8.28	0.000559204
8.29	0.000444495
8.3	0.000645235
8.31	0.000673912
8.32	0.000473173
8.33	0.000587881
8.34	0.000659574
8.35	0.000645235
8.36	0.000587881
8.37	0.000745605
8.38	0.000630897
8.39	0.000874652
8.4	0.000688251
8.41	0.000587881
8.42	0.000516188
8.43	0.000587881
8.44	0.000673912
8.45	0.00070259
8.46	0.000716928
8.47	0.000616558
8.48	0.000673912
8.49	0.00050185
8.5	0.000759944
8.51	0.000673912
8.52	0.000673912
8.53	0.00060222
8.54	0.000860314
8.55	0.000616558
8.56	0.000616558
8.57	0.00104672
8.58	0.000659574
8.59	0.000731267
8.6	0.000688251
8.61	0.000673912
8.62	0.00050185
8.63	0.000630897
8.64	0.000860314
8.65	0.000745605
8.66	0.000616558
8.67	0.000845975
8.68	0.000788621
8.69	0.000788621
8.7	0.000616558
8.71	0.000774282
8.72	0.000688251
8.73	0.000630897
8.74	0.000802959
8.75	0.000731267
8.76	0.000573542
8.77	0.000544865
8.78	0.000645235
8.79	0.000788621
8.8	0.000673912
8.81	0.000573542
8.82	0.000587881
8.83	0.000874652
8.84	0.000630897
8.85	0.000573542
8.86	0.000559204
8.87	0.00060222
8.88	0.000831637
8.89	0.00060222
8.9	0.000630897
8.91	0.000874652
8.92	0.000688251
8.93	0.00060222
8.94	0.000587881
8.95	0.000845975
8.96	0.000516188
8.97	0.000745605
8.98	0.00070259
8.99	0.000659574
9	0.000645235
9.01	0.000688251
9.02	0.000759944
9.03	0.000860314
9.04	0.000860314
9.05	0.000673912
9.06	0.000559204
9.07	0.000688251
9.08	0.000831637
9.09	0.000759944
9.1	0.000688251
9.11	0.000774282
9.12	0.000845975
9.13	0.000831637
9.14	0.000688251
9.15	0.000759944
9.16	0.000817298
9.17	0.000473173
9.18	0.000788621
9.19	0.000688251
9.2	0.000860314
9.21	0.000616558
9.22	0.000530527
9.23	0.000975022
9.24	0.000630897
9.25	0.000573542
9.26	0.000731267
9.27	0.000774282
9.28	0.000659574
9.29	0.000630897
9.3	0.000731267
9.31	0.000917668
9.32	0.000745605
9.33	0.000745605
9.34	0.00070259
9.35	0.000559204
9.36	0.000688251
9.37	0.000860314
9.38	0.000817298
9.39	0.000788621
9.4	0.000759944
9.41	0.000989361
9.42	0.000673912
9.43	0.000874652
9.44	0.000759944
9.45	0.000673912
9.46	0.000716928
9.47	0.000688251
9.48	0.000731267
9.49	0.000802959
9.5	0.000975022
9.51	0.000659574
9.52	0.00070259
9.53	0.00070259
9.54	0.00106105
9.55	0.00060222
9.56	0.000688251
9.57	0.000673912
9.58	0.00070259
9.59	0.000616558
9.6	0.000860314
9.61	0.000645235
9.62	0.000544865
9.63	0.000888991
9.64	0.000774282
9.65	0.000788621
9.66	0.000745605
9.67	0.000831637
9.68	0.000817298
9.69	0.000774282
9.7	0.000716928
9.71	0.000731267
9.72	0.000817298
9.73	0.000745605
9.74	0.000716928
9.75	0.000788621
9.76	0.000845975
9.77	0.000759944
9.78	0.000845975
9.79	0.000759944
9.8	0.000802959
9.81	0.000759944
9.82	0.000788621
9.83	0.000874652
9.84	0.000673912
9.85	0.000874652
9.86	0.00070259
9.87	0.000788621
9.88	0.000716928
9.89	0.000688251
9.9	0.00070259
9.91	0.000788621
9.92	0.000544865
9.93	0.000645235
9.94	0.000516188
9.95	0.000759944
9.96	0.000774282
9.97	0.000817298
9.98	0.000731267
9.99	0.000688251
10	0.000874652
10.01	0.000860314
10.02	0.000932007
10.03	0.000874652
10.04	0.000845975
10.05	0.000630897
10.06	0.000688251
10.07	0.00103238
10.08	0.000716928
10.09	0.000616558
10.1	0.000917668
10.11	0.000716928
10.12	0.000917668
10.13	0.000831637
10.14	0.000888991
10.15	0.000917668
10.16	0.000831637
10.17	0.000745605
10.18	0.000989361
10.19	0.000802959
10.2	0.000975022
10.21	0.000788621
10.22	0.000860314
10.23	0.000559204
10.24	0.000759944
10.25	0.00060222
10.26	0.000817298
10.27	0.000745605
10.28	0.00101804
10.29	0.000845975
10.3	0.000917668
10.31	0.000831637
10.32	0.000745605
10.33	0.000788621
10.34	0.000874652
10.35	0.000817298
10.36	0.000903329
10.37	0.000831637
10.38	0.000659574
10.39	0.000845975
10.4	0.000659574
10.41	0.000932007
10.42	0.000960684
10.43	0.000888991
10.44	0.000731267
10.45	0.000845975
10.46	0.000817298
10.47	0.00101804
10.48	0.00104672
10.49	0.000874652
10.5	0.000688251
10.51	0.000903329
10.52	0.000888991
10.53	0.000903329
10.54	0.000774282
10.55	0.000903329
10.56	0.000759944
10.57	0.000845975
10.58	0.00104672
10.59	0.00070259
10.6	0.00108973
10.61	0.000817298
10.62	0.000774282
10.63	0.000888991
10.64	0.000716928
10.65	0.000817298
10.66	0.000888991
10.67	0.000774282
10.68	0.000917668
10.69	0.000946345
10.7	0.000745605
10.71	0.000888991
10.72	0.000917668
10.73	0.000688251
10.74	0.000630897
10.75	0.000903329
10.76	0.000788621
10.77	0.000759944
10.78	0.000831637
10.79	0.000731267
10.8	0.000788621
10.81	0.000745605
10.82	0.00111841
10.83	0.00060222
10.84	0.000630897
10.85	0.0010037
10.86	0.000831637
10.87	0.00070259
10.88	0.00101804
10.89	0.000845975
10.9	0.00108973
10.91	0.000673912
10.92	0.000888991
10.93	0.000802959
10.94	0.000802959
10.95	0.000759944
10.96	0.000831637
10.97	0.000960684
10.98	0.00070259
10.99	0.000831637
11	0.000759944
11.01	0.000903329
11.02	0.000903329
11.03	0.000716928
11.04	0.000802959
11.05	0.000874652
11.06	0.000759944
11.07	0.000831637
11.08	0.000932007
11.09	0.000874652
11.1	0.000774282
11.11	0.000946345
11.12	0.000932007
11.13	0.000860314
11.14	0.000731267
11.15	0.000817298
11.16	0.000932007
11.17	0.000716928
11.18	0.000788621
11.19	0.000802959
11.2	0.000673912
11.21	0.000831637
11.22	0.000645235
11.23	0.000817298
11.24	0.000946345
11.25	0.000989361
11.26	0.00103238
11.27	0.000932007
11.28	0.000831637
11.29	0.000989361
11.3	0.000774282
11.31	0.000845975
11.32	0.000845975
11.33	0.000960684
11.34	0.00101804
11.35	0.00101804
11.36	0.000960684
11.37	0.000932007
11.38	0.000845975
11.39	0.000975022
11.4	0.000688251
11.41	0.00114708
11.42	0.000745605
11.43	0.00114708
11.44	0.000788621
11.45	0.000975022
11.46	0.000860314
11.47	0.000888991
11.48	0.000946345
11.49	0.000716928
11.5	0.000888991
11.51	0.000788621
11.52	0.000788621
11.53	0.000903329
11.54	0.000989361
11.55	0.000874652
11.56	0.000802959
11.57	0.000888991
11.58	0.000845975
11.59	0.000774282
11.6	0.000946345
